state,zcta,zip,tribe,pop_2015,pop_2020
AL,35650,35650,Echota Cherokee SDTSA,1258,1124
AL,36312,36312,Cher-O-Creek SDTSA,155,58
AL,36303,36302,Cher-O-Creek SDTSA,332,349
AL,36303,36303,Cher-O-Creek SDTSA,332,349
AL,36303,36304,Cher-O-Creek SDTSA,332,349
AL,36321,36321,Cher-O-Creek SDTSA,38,43
AL,36301,36301,Cher-O-Creek SDTSA,377,454
AL,36010,36010,MaChis Lower Creek SDTSA,85,96
AL,35651,35651,Echota Cherokee SDTSA,285,144
AL,36477,36477,MaChis Lower Creek SDTSA,92,182
AL,36035,36035,Southeastern Mvskoke Nation SDTSA,48,75
AL,36346,36346,MaChis Lower Creek SDTSA,129,79
AL,36351,36351,MaChis Lower Creek SDTSA,191,122
AL,35750,35750,Echota Cherokee SDTSA,369,128
AL,35950,35950,Cherokee Tribe of Northeast Alabama SDTSA,249,219
AL,35763,35763,Echota Cherokee SDTSA,245,230
AL,36467,36467,MaChis Lower Creek SDTSA,122,250
AL,36445,36445,Poarch Creek Off-Reservation Trust Land,109,211
AL,36445,36457,Poarch Creek Off-Reservation Trust Land,109,211
AL,36445,36458,Poarch Creek Off-Reservation Trust Land,109,211
AL,36034,36034,Southeastern Mvskoke Nation SDTSA,36,68
AL,36081,36081,Southeastern Mvskoke Nation SDTSA,399,141
AL,36010,36010,Southeastern Mvskoke Nation SDTSA,85,96
AL,35673,35673,Echota Cherokee SDTSA,388,640
AL,35672,35672,Echota Cherokee SDTSA,726,692
AL,35749,35742,Echota Cherokee SDTSA,286,369
AL,35749,35749,Echota Cherokee SDTSA,286,369
AL,36370,36370,Cher-O-Creek SDTSA,8,12
AL,36320,36320,Cher-O-Creek SDTSA,63,91
AL,35976,35976,United Cherokee Ani-Yun-Wiya Nation SDTSA,203,506
AL,35016,35016,Cherokee Tribe of Northeast Alabama SDTSA,185,141
AL,36079,36079,Southeastern Mvskoke Nation SDTSA,131,128
AL,36305,36305,Cher-O-Creek SDTSA,104,130
AL,36502,36449,Poarch Creek Off-Reservation Trust Land,1245,1505
AL,36502,36502,Poarch Creek Off-Reservation Trust Land,1245,1505
AL,36502,36504,Poarch Creek Off-Reservation Trust Land,1245,1505
AL,36453,36453,MaChis Lower Creek SDTSA,128,142
AL,36323,36323,MaChis Lower Creek SDTSA,336,218
AL,35619,35619,Echota Cherokee SDTSA,150,343
AL,35757,35757,Echota Cherokee SDTSA,127,182
AL,35654,35654,Echota Cherokee SDTSA,129,17
AL,35951,35951,United Cherokee Ani-Yun-Wiya Nation SDTSA,130,153
AL,35806,35806,Echota Cherokee SDTSA,391,260
AL,36034,36034,MaChis Lower Creek SDTSA,36,68
AL,35747,35747,Cherokee Tribe of Northeast Alabama SDTSA,183,145
AL,35980,35964,Cherokee Tribe of Northeast Alabama SDTSA,126,27
AL,35980,35980,Cherokee Tribe of Northeast Alabama SDTSA,126,27
AL,36330,36330,MaChis Lower Creek SDTSA,469,848
AL,36330,36331,MaChis Lower Creek SDTSA,469,848
AL,36343,36343,Cher-O-Creek SDTSA,19,0
AL,35748,35748,Echota Cherokee SDTSA,100,164
AL,36376,36376,Cher-O-Creek SDTSA,70,27
AL,35761,35761,Echota Cherokee SDTSA,349,799
AL,35643,35643,Echota Cherokee SDTSA,302,221
AL,36318,36318,MaChis Lower Creek SDTSA,47,3
AL,36352,36352,MaChis Lower Creek SDTSA,139,70
AL,36079,36079,MaChis Lower Creek SDTSA,131,128
AL,36316,36316,MaChis Lower Creek SDTSA,19,25
AL,36553,36553,MOWA Choctaw (state) Reservation,1295,1084
AL,36560,36560,MOWA Choctaw (state) Reservation,935,816
AL,35603,35603,Echota Cherokee SDTSA,946,653
AL,35760,35760,Echota Cherokee SDTSA,202,108
AL,35957,35957,Cherokee Tribe of Northeast Alabama SDTSA,233,37
AL,35622,35622,Echota Cherokee SDTSA,229,195
AL,35773,35773,Echota Cherokee SDTSA,366,266
AL,36311,36311,MaChis Lower Creek SDTSA,23,11
AL,36502,36449,Poarch Creek Reservation,1245,1505
AL,36502,36502,Poarch Creek Reservation,1245,1505
AL,36502,36504,Poarch Creek Reservation,1245,1505
AL,36375,36349,MaChis Lower Creek SDTSA,76,121
AL,36375,36375,MaChis Lower Creek SDTSA,76,121
AL,36305,36305,MaChis Lower Creek SDTSA,104,130
AL,36345,36345,Cher-O-Creek SDTSA,37,0
AL,36442,36442,MaChis Lower Creek SDTSA,71,87
AL,36005,36005,Southeastern Mvskoke Nation SDTSA,0,0
AL,36005,36061,Southeastern Mvskoke Nation SDTSA,0,0
AL,36117,36117,Poarch Creek Off-Reservation Trust Land,349,149
AL,36117,36119,Poarch Creek Off-Reservation Trust Land,349,149
AL,36117,36121,Poarch Creek Off-Reservation Trust Land,349,149
AL,36117,36123,Poarch Creek Off-Reservation Trust Land,349,149
AL,36117,36124,Poarch Creek Off-Reservation Trust Land,349,149
AL,36117,36132,Poarch Creek Off-Reservation Trust Land,349,149
AL,36117,36141,Poarch Creek Off-Reservation Trust Land,349,149
AL,36117,36177,Poarch Creek Off-Reservation Trust Land,349,149
AL,36092,36092,Poarch Creek Reservation,265,160
AL,35776,35776,Cherokee Tribe of Northeast Alabama SDTSA,93,121
AL,35618,35618,Echota Cherokee SDTSA,4,43
AK,99926,99926,Annette Island Reserve,1770,1528
AK,99747,99747,Kaktovik ANVSA,144,171
AK,99557,99557,Chuathbaluk ANVSA,566,570
AK,99611,99611,Kenaitze ANVSA,2691,2655
AK,99564,99564,Chignik ANVSA,38,25
AK,99789,99789,Nuiqsut ANVSA,312,407
AK,99684,99684,Unalakleet ANVSA,593,491
AK,99762,99762,Nome ANVSA,2504,2882
AK,99638,99638,Nikolski ANVSA,24,15
AK,99621,99621,Kwethluk ANVSA,817,454
AK,99640,99640,Nondalton ANVSA,167,100
AK,99551,99551,Akiachak ANVSA,546,454
AK,99556,99556,Ninilchik ANVSA,181,221
AK,99669,99669,Kenaitze ANVSA,1389,1503
AK,99764,99764,Northway ANVSA,248,304
AK,99672,99672,Kenaitze ANVSA,171,217
AK,99632,99632,Mountain Village ANVSA,718,937
AK,99576,99576,Dillingham ANVSA,1632,1716
AK,99840,99840,Skagway ANVSA,88,76
AK,99637,99637,Toksook Bay ANVSA,529,849
AK,99671,99671,Stebbins ANVSA,541,579
AK,99559,99545,Newtok ANVSA,5635,5954
AK,99559,99559,Newtok ANVSA,5635,5954
AK,99780,99780,Tetlin ANVSA,619,718
AK,99925,99925,Klawock ANVSA,450,523
AK,99603,99603,Ninilchik ANVSA,1078,1318
AK,99752,99752,Kotzebue ANVSA,2458,2395
AK,99559,99545,Napaskiak ANVSA,5635,5954
AK,99559,99559,Napaskiak ANVSA,5635,5954
AK,99586,99586,Gakona ANVSA,165,153
AK,99678,99678,Togiak ANVSA,814,886
AK,99758,99758,Minto ANVSA,250,133
AK,99668,99668,Sleetmute ANVSA,73,69
AK,99921,99921,Craig ANVSA,477,539
AK,99921,99950,Craig ANVSA,477,539
AK,99644,99644,Ouzinkie ANVSA,175,125
AK,99827,99827,Chilkat ANVSA,383,339
AK,99648,99648,Perryville ANVSA,108,52
AK,99634,99634,Napakiak ANVSA,335,744
AK,99778,99778,Teller ANVSA,165,235
AK,99566,99566,Chitina ANVSA,42,44
AK,99610,99610,Kenaitze ANVSA,239,310
AK,99827,99827,Chilkoot ANVSA,383,339
AK,99753,99753,Koyuk ANVSA,272,241
AK,99552,99552,Akiak ANVSA,397,295
AK,99610,99610,Ninilchik ANVSA,239,310
AK,99611,99611,Salamatof ANVSA,2691,2655
AK,99929,99929,Wrangell ANVSA,652,862
AK,99569,99569,Clarks Point ANVSA,56,37
AK,99591,99591,St. George ANVSA,53,102
AK,99685,99685,Unalaska ANVSA,268,230
AK,99583,99583,False Pass ANVSA,17,50
AK,99679,99679,Tuluksak ANVSA,423,234
AK,99559,99545,Bethel ANVSA,5635,5954
AK,99559,99559,Bethel ANVSA,5635,5954
AK,99662,99662,Scammon Bay ANVSA,489,463
AK,99833,99833,Petersburg ANVSA,479,368
AK,99680,99680,Tuntutuliak ANVSA,466,834
AK,99741,99741,Galena ANVSA,318,318
AK,99835,99835,Sitka ANVSA,2215,2148
AK,99641,99641,Nunapitchuk ANVSA,554,955
AK,99615,99615,Akhiok ANVSA,2115,2001
AK,99615,99619,Akhiok ANVSA,2115,2001
AK,99615,99697,Akhiok ANVSA,2115,2001
AK,99729,99729,Cantwell ANVSA,39,35
AK,99586,99586,Chistochina ANVSA,165,153
AK,99756,99756,Manley Hot Springs ANVSA,20,16
AK,99628,99628,Manokotak ANVSA,583,639
AK,99766,99766,Point Hope ANVSA,545,611
AK,99765,99765,Nulato ANVSA,271,297
AK,99655,99655,Kwinhagak ANVSA,624,844
AK,99626,99626,Lower Kalskag ANVSA,286,287
AK,99555,99555,Aleknagik ANVSA,178,131
AK,99663,99663,Seldovia ANVSA,101,113
AK,99547,99547,Atka ANVSA,43,43
AK,99549,99549,Port Heiden ANVSA,49,52
AK,99576,99576,Portage Creek ANVSA,1632,1716
AK,99650,99650,Pilot Station ANVSA,582,418
AK,99749,99749,Kiana ANVSA,362,372
AK,99606,99606,Newhalen ANVSA,342,238
AK,99724,99724,Beaver ANVSA,66,88
AK,99760,99760,Nenana ANVSA,237,233
AK,99736,99736,Deering ANVSA,131,143
AK,99651,99651,Platinum ANVSA,42,8
AK,99553,99553,Akutan ANVSA,86,210
AK,99550,99550,Port Lions ANVSA,152,97
AK,99740,99740,Fort Yukon ANVSA,508,408
AK,99606,99606,Kokhanok ANVSA,342,238
AK,99590,99590,Grayling ANVSA,171,190
AK,99609,99609,Kasigluk ANVSA,600,410
AK,99801,99801,Douglas ANVSA,5722,5593
AK,99801,99802,Douglas ANVSA,5722,5593
AK,99801,99803,Douglas ANVSA,5722,5593
AK,99801,99811,Douglas ANVSA,5722,5593
AK,99801,99812,Douglas ANVSA,5722,5593
AK,99801,99821,Douglas ANVSA,5722,5593
AK,99739,99739,Elim ANVSA,347,218
AK,99557,99557,Aniak ANVSA,566,570
AK,99572,99572,Kenaitze ANVSA,0,30
AK,99720,99720,Allakaket ANVSA,138,191
AK,99548,99548,Chignik Lake ANVSA,65,63
AK,99683,99683,Knik ANVSA,37,57
AK,99901,99901,Ketchikan ANVSA,3419,3120
AK,99901,99928,Ketchikan ANVSA,3419,3120
AK,99674,99674,Chickaloon ANVSA,121,125
AK,99623,99623,Knik ANVSA,NA,NA
AK,99645,99645,Chickaloon ANVSA,3036,3705
AK,99688,99688,Knik ANVSA,244,290
AK,99667,99667,Knik ANVSA,0,9
AK,99654,99629,Knik ANVSA,6375,8175
AK,99654,99654,Knik ANVSA,6375,8175
AK,99654,99687,Knik ANVSA,6375,8175
AK,99676,99676,Knik ANVSA,91,47
AK,99588,99588,Chickaloon ANVSA,167,391
AK,99581,99581,Emmonak ANVSA,794,1053
AK,99559,99545,Atmautluak ANVSA,5635,5954
AK,99559,99559,Atmautluak ANVSA,5635,5954
AK,99574,99574,Eyak ANVSA,493,365
AK,99666,99666,Nunam Iqua ANVSA,106,119
AK,99554,99554,Alakanuk ANVSA,726,1062
AK,99657,99657,Russian Mission ANVSA,353,192
AK,99784,99784,White Mountain ANVSA,155,162
AK,99762,99762,Golovin ANVSA,2504,2882
AK,99579,99579,Egegik ANVSA,37,5
AK,99647,99647,Pedro Bay ANVSA,4,21
AK,99649,99649,Pilot Point ANVSA,55,64
AK,99613,99613,Igiugig ANVSA,145,135
AK,99653,99653,Port Alsworth ANVSA,26,15
AK,99919,99919,Kasaan ANVSA,66,49
AK,99689,99689,Yakutat ANVSA,322,228
AK,99627,99627,McGrath ANVSA,215,173
AK,99780,99780,Mentasta Lake ANVSA,619,718
AK,99656,99656,Georgetown ANVSA,14,23
AK,99568,99568,Kenaitze ANVSA,38,18
AK,99682,99682,Tyonek ANVSA,229,458
AK,99677,99677,Tatitlek ANVSA,79,43
AK,99639,99639,Ninilchik ANVSA,148,163
AK,99573,99573,Copper Center ANVSA,273,270
AK,99567,99567,Eklutna ANVSA,1256,622
AK,99568,99568,Ninilchik ANVSA,38,18
AK,99588,99588,Tazlina ANVSA,167,391
AK,99573,99573,Tazlina ANVSA,273,270
AK,99586,99586,Gulkana ANVSA,165,153
AK,99603,99603,Nanwalek ANVSA,1078,1318
AK,99603,99603,Port Graham ANVSA,1078,1318
AK,99649,99649,Ugashik ANVSA,55,64
AK,99574,99574,Chenega ANVSA,493,365
AK,99571,99571,Nelson Lagoon ANVSA,39,99
AK,99615,99615,Uyak ANVSA,2115,2001
AK,99615,99619,Uyak ANVSA,2115,2001
AK,99615,99697,Uyak ANVSA,2115,2001
AK,99624,99624,Larsen Bay ANVSA,36,15
AK,99608,99608,Karluk ANVSA,NA,NA
AK,99643,99643,Old Harbor ANVSA,216,178
AK,99613,99613,King Salmon ANVSA,145,135
AK,99615,99615,Old Harbor ANVSA,2115,2001
AK,99615,99619,Old Harbor ANVSA,2115,2001
AK,99615,99697,Old Harbor ANVSA,2115,2001
AK,99576,99576,New Koliganek ANVSA,1632,1716
AK,99612,99612,King Cove ANVSA,412,704
AK,99901,99901,Saxman ANVSA,3419,3120
AK,99901,99928,Saxman ANVSA,3419,3120
AK,99824,99824,Douglas ANVSA,497,490
AK,99922,99922,Hydaburg ANVSA,254,282
AK,99820,99820,Angoon ANVSA,263,338
AK,99830,99830,Kake ANVSA,518,425
AK,99921,99921,Klawock ANVSA,477,539
AK,99921,99950,Klawock ANVSA,477,539
AK,99829,99829,Hoonah ANVSA,504,493
AK,99738,99738,Eagle ANVSA,12,27
AK,99661,99661,Sand Point ANVSA,530,622
AK,99694,99694,Knik ANVSA,250,133
AK,99652,99652,Knik ANVSA,564,481
AK,99776,99776,Tanacross ANVSA,114,134
AK,99645,99645,Knik ANVSA,3036,3705
AK,99565,99565,Chignik Lagoon ANVSA,58,27
AK,99695,99695,Ivanof Bay ANVSA,0,0
AK,99737,99731,Dot Lake ANVSA,155,204
AK,99737,99737,Dot Lake ANVSA,155,204
AK,99733,99733,Circle ANVSA,76,39
AK,99706,99706,Healy Lake ANVSA,0,7
AK,99557,99557,Lime Village ANVSA,566,570
AK,99576,99576,Twin Hills ANVSA,1632,1716
AK,99576,99576,Togiak ANVSA,1632,1716
AK,99604,99604,Hooper Bay ANVSA,1093,778
AK,99761,99761,Noatak ANVSA,427,420
AK,99751,99751,Kobuk ANVSA,156,143
AK,99620,99620,Kotlik ANVSA,627,1250
AK,99770,99770,Selawik ANVSA,782,706
AK,99791,99791,Atqasuk ANVSA,153,132
AK,99763,99763,Noorvik ANVSA,602,512
AK,99727,99727,Buckland ANVSA,575,668
AK,99771,99771,Shaktoolik ANVSA,218,320
AK,99785,99785,Brevig Mission ANVSA,441,612
AK,99786,99786,Ambler ANVSA,241,231
AK,99773,99773,Shungnak ANVSA,290,210
AK,99772,99772,Shishmaref ANVSA,622,464
AK,99769,99769,Savoonga ANVSA,873,819
AK,99602,99602,Holy Cross ANVSA,206,249
AK,99748,99748,Kaltag ANVSA,179,166
AK,99726,99726,Evansville ANVSA,18,7
AK,99777,99777,Tanana ANVSA,241,150
AK,99691,99691,Telida ANVSA,100,106
AK,99559,99545,Oscarville ANVSA,5635,5954
AK,99559,99559,Oscarville ANVSA,5635,5954
AK,99589,99589,Goodnews Bay ANVSA,223,118
AK,99665,99665,Shageluk ANVSA,37,48
AK,99754,99754,Koyukuk ANVSA,78,52
AK,99681,99681,Tununak ANVSA,283,419
AK,99656,99656,Red Devil ANVSA,14,23
AK,99607,99607,Kalskag ANVSA,252,240
AK,99745,99745,Hughes ANVSA,56,56
AK,99578,99578,Eek ANVSA,458,589
AK,99585,99585,Marshall ANVSA,350,168
AK,99690,99690,Nightmute ANVSA,249,152
AK,99622,99622,Kwigillingok ANVSA,319,419
AK,99630,99630,Mekoryuk ANVSA,171,295
AK,99658,99658,Algaaciq ANVSA,649,770
AK,99658,99658,Andreafsky ANVSA,649,770
AK,99788,99788,Chalkyitsik ANVSA,99,93
AK,99721,99721,Anaktuvuk Pass ANVSA,219,188
AK,99659,99659,St. Michael ANVSA,389,339
AK,99660,99660,St. Paul ANVSA,479,391
AK,99675,99675,Takotna ANVSA,NA,NA
AK,99746,99746,Huslia ANVSA,395,270
AK,99781,99781,Venetie ANVSA,187,120
AK,99730,99730,Birch Creek ANVSA,4,4
AK,99691,99691,Nikolai ANVSA,100,106
AK,99757,99757,Lake Minchumina ANVSA,12,4
AK,99658,99658,Pitkas Point ANVSA,649,770
AK,99563,99563,Chevak ANVSA,979,705
AK,99558,99558,Anvik ANVSA,87,85
AK,99557,99557,Napaimute ANVSA,566,570
AK,99575,99575,Crooked Creek ANVSA,89,57
AK,99774,99774,Stevens Village ANVSA,25,9
AK,99614,99614,Kipnuk ANVSA,685,359
AK,99768,99768,Ruby ANVSA,189,178
AK,99657,99657,Ohogamiut ANVSA,353,192
AK,99720,99720,Alatna ANVSA,138,191
AK,99722,99722,Arctic Village ANVSA,125,233
AK,99561,99561,Chefornak ANVSA,498,413
AK,99557,99557,Stony River ANVSA,566,570
AK,99767,99767,Rampart ANVSA,4,54
AK,99559,99545,Kongiganak ANVSA,5635,5954
AK,99559,99559,Kongiganak ANVSA,5635,5954
AK,99723,99723,Barrow ANVSA,2775,3103
AK,99750,99750,Kivalina ANVSA,561,727
AK,99783,99783,Wales ANVSA,152,222
AK,99759,99759,Point Lay ANVSA,233,169
AK,99782,99782,Wainwright ANVSA,449,402
AK,99762,99762,Inalik ANVSA,2504,2882
AK,99742,99742,Gambell ANVSA,659,484
AK,99692,99692,Unalaska ANVSA,1,8
AK,99580,99580,Ekwok ANVSA,75,67
AK,99633,99633,Naknek ANVSA,253,227
AK,99670,99670,South Naknek ANVSA,51,25
AK,99606,99606,Iliamna ANVSA,342,238
AK,99636,99636,New Stuyahok ANVSA,606,513
AK,99569,99569,Ekuk ANVSA,56,37
AK,99625,99625,Levelock ANVSA,119,37
AZ,86503,86503,Navajo Nation Reservation,10102,10315
AZ,86535,86535,Navajo Nation Reservation,1127,1459
AZ,86435,86435,Hualapai Indian Reservation,59,0
AZ,86040,86040,Navajo Nation Reservation,5827,6782
AZ,86045,86045,Hopi Reservation,12143,11576
AZ,86047,86047,Navajo Nation Reservation,8011,9029
AZ,86505,86505,Navajo Nation Reservation,7833,7751
AZ,86512,86512,Navajo Nation Reservation,2462,2737
AZ,86545,86545,Navajo Nation Reservation,1460,1245
AZ,86510,86510,Navajo Nation Reservation,4942,4003
AZ,86520,86520,Navajo Nation Reservation,2020,1572
AZ,86039,86039,Navajo Nation Reservation,1285,1300
AZ,86033,86033,Navajo Nation Reservation,7112,7841
AZ,86514,86514,Navajo Nation Reservation,2443,3241
AZ,85634,85634,Tohono O'odham Nation Reservation,5661,6167
AZ,86034,86034,Hopi Reservation,1991,1773
AZ,85941,85941,Fort Apache Reservation,11426,11109
AZ,86054,86054,Navajo Nation Reservation,1890,1424
AZ,85344,85344,Colorado River Indian Reservation,2975,3135
AZ,85339,85339,Gila River Indian Reservation,4207,4124
AZ,86538,86538,Navajo Nation Reservation,2509,1581
AZ,86502,86502,Navajo Nation Reservation,1208,908
AZ,85256,85256,Salt River Reservation,3732,6034
AZ,86506,86506,Navajo Nation Reservation,1451,1235
AZ,86039,86039,Hopi Reservation,1285,1300
AZ,86434,86434,Hualapai Indian Reservation,1219,1569
AZ,86020,86020,Navajo Nation Reservation,2006,1859
AZ,85930,85930,Fort Apache Reservation,1229,1508
AZ,85371,85371,Colorado River Indian Reservation,186,207
AZ,86511,86511,Navajo Nation Reservation,3224,3910
AZ,86540,86540,Navajo Nation Reservation,1028,1084
AZ,86034,86034,Navajo Nation Reservation,1991,1773
NM,87328,87328,Navajo Nation Reservation,2927,2692
AZ,86556,86556,Navajo Nation Reservation,1609,2045
AZ,86508,86508,Navajo Nation Reservation,865,589
AZ,86544,86544,Navajo Nation Reservation,1317,1447
AZ,86504,86504,Navajo Nation Reservation,6152,7110
AZ,86507,86507,Navajo Nation Reservation,2500,2438
AZ,86547,86547,Navajo Nation Reservation,1203,1242
AZ,86515,86515,Navajo Nation Reservation,4293,3498
AZ,85927,85927,Fort Apache Reservation,0,0
AZ,85924,85924,Zuni Reservation,61,117
AZ,86512,86512,Navajo Nation Off-Reservation Trust Land,2462,2737
AZ,86043,86043,Hopi Reservation,2280,3036
AZ,85530,85530,San Carlos Reservation,1956,1482
AZ,86044,86044,Navajo Nation Reservation,3757,3296
AZ,86045,86045,Navajo Nation Reservation,12143,11576
AZ,85321,85321,Tohono O'odham Nation Reservation,1914,1265
AZ,86033,86033,Hopi Reservation,7112,7841
AZ,86044,86044,Hopi Reservation,3757,3296
AZ,85542,85542,San Carlos Reservation,3675,3735
AZ,85264,85264,Fort McDowell Yavapai Nation Reservation,879,1060
AZ,85248,85248,Gila River Indian Reservation,1136,1306
AZ,86022,86022,Kaibab Indian Reservation,530,448
AZ,85929,85929,Fort Apache Reservation,22,523
AZ,86031,86031,Navajo Nation Reservation,2051,1689
AZ,86510,86510,Hopi Reservation,4942,4003
AZ,86042,86042,Hopi Reservation,1746,2237
AZ,86035,86035,Navajo Nation Reservation,1713,2029
AZ,85337,85337,Tohono O'odham Nation Off-Reservation Trust Land,359,421
AZ,85147,85147,Gila River Indian Reservation,3984,3725
AZ,85364,85364,Cocopah Reservation,1259,2519
AZ,85364,85366,Cocopah Reservation,1259,2519
AZ,85364,85369,Cocopah Reservation,1259,2519
AZ,86030,86030,Hopi Reservation,1518,1691
AZ,85550,85550,San Carlos Reservation,4884,5736
AZ,85902,85902,Fort Apache Reservation,NA,NA
AZ,85121,85121,Gila River Indian Reservation,2590,1753
AZ,85193,85193,Tohono O'odham Nation Reservation,491,616
AZ,86053,86053,Navajo Nation Reservation,2300,2851
AZ,85757,85757,Pascua Pueblo Yaqui Reservation,4605,4377
AZ,86016,86016,Navajo Nation Reservation,81,33
AZ,85258,85258,Salt River Reservation,104,138
AZ,85258,85261,Salt River Reservation,104,138
AZ,85911,85911,Fort Apache Reservation,2014,1782
AZ,86435,86435,Havasupai Reservation,59,0
AZ,85250,85250,Salt River Reservation,435,516
AZ,85226,85226,Gila River Indian Reservation,934,1745
AZ,85138,85138,Maricopa (Ak Chin) Indian Reservation,754,1409
AZ,85251,85251,Salt River Reservation,533,1106
AZ,86036,86036,Navajo Nation Reservation,76,265
AZ,85337,85337,Tohono O'odham Nation Reservation,359,421
AZ,86047,86047,Hopi Reservation,8011,9029
AZ,86004,86004,Navajo Nation Reservation,5328,5363
AZ,85746,85746,Tohono O'odham Nation Reservation,3945,3775
AZ,85192,85192,San Carlos Reservation,15,136
AZ,86444,86444,Hualapai Off-Reservation Trust Land,66,9
AZ,85756,85756,Tohono O'odham Nation Reservation,1665,4421
AZ,85639,85639,Tohono O'odham Nation Reservation,NA,NA
AZ,85264,85264,Salt River Reservation,879,1060
AZ,86035,86035,Hopi Reservation,1713,2029
AZ,86411,86411,Hualapai Off-Reservation Trust Land,9,0
AZ,85257,85252,Salt River Reservation,1625,954
AZ,85257,85257,Salt River Reservation,1625,954
AZ,85257,85271,Salt River Reservation,1625,954
AZ,85926,85926,Fort Apache Reservation,287,671
AZ,86437,86437,Hualapai Off-Reservation Trust Land,47,88
AZ,85128,85128,Gila River Indian Reservation,2764,3037
AZ,85533,85533,San Carlos Reservation,115,73
AZ,86003,86003,Navajo Nation Reservation,0,21
AZ,85138,85138,Gila River Indian Reservation,754,1409
AZ,86301,86301,Yavapai-Prescott Reservation,579,657
AZ,86301,86304,Yavapai-Prescott Reservation,579,657
AZ,85172,85172,Maricopa (Ak Chin) Indian Reservation,215,310
AZ,86440,86440,Fort Mojave Reservation,889,761
AZ,86440,86446,Fort Mojave Reservation,889,761
AZ,85203,85203,Salt River Reservation,1511,2728
AZ,85746,85746,Pascua Pueblo Yaqui Reservation,3945,3775
AZ,85259,85259,Salt River Reservation,367,243
AZ,85215,85215,Salt River Reservation,83,261
AZ,85215,85277,Salt River Reservation,83,261
AZ,85364,85364,Fort Yuma Indian Reservation,1259,2519
AZ,85364,85366,Fort Yuma Indian Reservation,1259,2519
AZ,85364,85369,Fort Yuma Indian Reservation,1259,2519
AZ,86020,86020,Navajo Nation Off-Reservation Trust Land,2006,1859
AZ,85139,85139,Maricopa (Ak Chin) Indian Reservation,1973,1922
AZ,86436,86436,Fort Mojave Reservation,0,0
AZ,85350,85350,Cocopah Reservation,1324,964
AZ,85536,85536,San Carlos Reservation,22,0
AZ,85935,85935,Fort Apache Reservation,698,807
AZ,86437,86437,Hualapai Indian Reservation,47,88
AZ,86322,86322,Yavapai-Apache Nation Reservation,1571,1225
AZ,85142,85127,Gila River Indian Reservation,1006,852
AZ,85142,85142,Gila River Indian Reservation,1006,852
AZ,85541,85541,Tonto Apache Off-Reservation Trust Land,573,994
AZ,85541,85547,Tonto Apache Off-Reservation Trust Land,573,994
AZ,86401,86401,Hualapai Indian Reservation,1209,1003
AZ,86401,86402,Hualapai Indian Reservation,1209,1003
AZ,85360,85360,Hualapai Indian Reservation,4,8
AZ,85757,85757,Pascua Pueblo Yaqui Off-Reservation Trust Land,4605,4377
AZ,85138,85138,Maricopa (Ak Chin) Off-Reservation Trust Land,754,1409
AZ,86032,86032,Navajo Nation Off-Reservation Trust Land,716,404
UT,84531,84531,Navajo Nation Reservation,1006,776
AZ,86032,86032,Navajo Nation Reservation,716,404
AZ,86502,86502,Navajo Nation Off-Reservation Trust Land,1208,908
AZ,85936,85936,Zuni Reservation,476,567
AZ,86047,86047,Hopi Off-Reservation Trust Land,8011,9029
UT,84536,84536,Navajo Nation Reservation,1978,1173
AZ,85334,85334,Colorado River Indian Reservation,0,41
AZ,86434,86434,Hualapai Off-Reservation Trust Land,1219,1569
AZ,86426,86426,Fort Mojave Reservation,272,268
AZ,86426,86427,Fort Mojave Reservation,272,268
AZ,85543,85543,San Carlos Reservation,139,142
AZ,86335,86335,Yavapai-Apache Nation Reservation,283,374
AZ,86335,86342,Yavapai-Apache Nation Reservation,283,374
AZ,86324,86324,Yavapai-Apache Nation Reservation,481,200
AZ,85365,85365,Fort Yuma Indian Reservation,738,1765
AZ,85132,85132,Tohono O'odham Nation Reservation,2123,2298
AZ,85139,85139,Maricopa (Ak Chin) Off-Reservation Trust Land,1973,1922
AZ,85541,85541,Tonto Apache Reservation,573,994
AZ,85541,85547,Tonto Apache Reservation,573,994
AZ,85746,85746,Pascua Pueblo Yaqui Off-Reservation Trust Land,3945,3775
AZ,86004,86004,Navajo Nation Off-Reservation Trust Land,5328,5363
AZ,85322,85322,Tohono O'odham Nation Reservation,65,9
AZ,85201,85201,Salt River Reservation,3392,3272
AZ,85201,85211,Salt River Reservation,3392,3272
CA,92264,92264,Agua Caliente Indian Reservation,321,499
CA,95546,95546,Yurok Reservation,2718,2939
CA,92264,92264,Agua Caliente Off-Reservation Trust Land,321,499
CA,95551,95551,Table Bluff Reservation,244,216
CA,95966,95940,Mooretown Rancheria,2512,2749
CA,95966,95966,Mooretown Rancheria,2512,2749
CA,92262,92262,Agua Caliente Indian Reservation,502,505
CA,92262,92263,Agua Caliente Indian Reservation,502,505
CA,95939,95939,Grindstone Indian Rancheria,124,157
CA,93526,93526,Fort Independence Reservation,94,127
CA,95568,95568,Karuk Off-Reservation Trust Land,59,31
CA,93514,93514,Bishop Reservation,1362,2050
CA,93514,93515,Bishop Reservation,1362,2050
CA,96101,96101,XL Ranch Rancheria,298,222
CA,96108,96108,XL Ranch Rancheria,0,0
CA,96039,96039,Karuk Off-Reservation Trust Land,361,295
CA,96120,96120,Washoe Ranches Trust Land,317,426
CA,95642,95642,Jackson Rancheria,425,293
CA,95642,95654,Jackson Rancheria,425,293
CA,96120,96120,Woodfords Community,317,426
